mil_time,variable,value
7,Tower,0.23052061
7,Tower,0.204174896
7,Tower,0.280584076
7,Tower,0.115802311
7,Tower,NA
7,Tower,NA
7,Tower,NA
7,Tower,NA
7,Tower,0.341079044
7,Tower,NA
7,Tower,0.065812592
7,Tower,NA
7,Tower,0.348929556
7,Tower,0.398247941
8,Tower,0.244349304
8,Tower,0.226298808
8,Tower,0.128324756
8,Tower,NA
8,Tower,NA
8,Tower,NA
8,Tower,0.243475688
8,Tower,0.255680733
8,Tower,0.247670934
8,Tower,0.183549857
8,Tower,NA
8,Tower,0.213533129
8,Tower,NA
8,Tower,NA
9,Tower,0.19378507
9,Tower,0.220998755
9,Tower,0.114888643
9,Tower,0.086618066
9,Tower,NA
9,Tower,NA
9,Tower,NA
9,Tower,0.163403417
9,Tower,0.237629962
9,Tower,0.14745897
9,Tower,0.164983718
9,Tower,NA
9,Tower,NA
9,Tower,0.299479548
10,Tower,NA
10,Tower,0.209818805
10,Tower,0.289325358
10,Tower,0.172047424
10,Tower,NA
10,Tower,NA
10,Tower,0.131253702
10,Tower,0.390344043
10,Tower,0.219564139
10,Tower,0.198566787
10,Tower,NA
10,Tower,NA
10,Tower,NA
10,Tower,0.332626407
11,Tower,NA
11,Tower,0.297043962
11,Tower,0.162617256
11,Tower,0.144234548
11,Tower,NA
11,Tower,0.248522403
11,Tower,0.229947534
11,Tower,0.311282077
11,Tower,0.175775982
11,Tower,0.248406746
11,Tower,0.168762719
11,Tower,NA
11,Tower,-0.078050834
11,Tower,0.211306814
12,Tower,0.403495368
12,Tower,0.25477834
12,Tower,0.26977822
12,Tower,0.187318563
12,Tower,0.129126886
12,Tower,0.213087102
12,Tower,0.256693873
12,Tower,0.411433523
12,Tower,0.375857123
12,Tower,0.182428827
12,Tower,0.030592906
12,Tower,0.316814551
12,Tower,0.226981915
12,Tower,0.252850079
13,Tower,0.399135066
13,Tower,0.290391273
13,Tower,0.165667398
13,Tower,0.199237164
13,Tower,0.125747914
13,Tower,0.243264173
13,Tower,0.237531854
13,Tower,0.395118878
13,Tower,0.278697431
13,Tower,0.259746602
13,Tower,0.166987309
13,Tower,0.104118769
13,Tower,0.161724861
13,Tower,0.161479885
14,Tower,0.286666152
14,Tower,0.322141207
14,Tower,0.261757799
14,Tower,0.163302668
14,Tower,0.13665017
14,Tower,0.209427908
14,Tower,0.20108796
14,Tower,0.280117006
14,Tower,0.429220312
14,Tower,0.219910752
14,Tower,0.199641798
14,Tower,0.184915568
14,Tower,0.136333653
14,Tower,0.31972243
15,Tower,0.171811988
15,Tower,0.373806771
15,Tower,0.271232388
15,Tower,0.197496122
15,Tower,0.165033322
15,Tower,0.174717174
15,Tower,0.316004634
15,Tower,0.413731807
15,Tower,0.455204501
15,Tower,0.168146297
15,Tower,0.21428881
15,Tower,0.14831954
15,Tower,0.193330438
15,Tower,0.330697833
16,Tower,0.386903797
16,Tower,0.397940514
16,Tower,0.208501638
16,Tower,NA
16,Tower,0.193049839
16,Tower,0.130168389
16,Tower,0.252774474
16,Tower,0.446187099
16,Tower,0.433748189
16,Tower,0.178761927
16,Tower,0.222225763
16,Tower,0.173042591
16,Tower,0.17859726
16,Tower,0.236916273
17,Tower,0.547776455
17,Tower,0.301690894
17,Tower,0.252820096
17,Tower,0.132006705
17,Tower,0.121041401
17,Tower,0.166795334
17,Tower,0.240157221
17,Tower,0.428405861
17,Tower,0.354915657
17,Tower,0.217215052
17,Tower,0.199365788
17,Tower,0.122235115
17,Tower,0.132860486
17,Tower,0.241602939
18,Tower,0.534566436
18,Tower,0.359797622
18,Tower,0.198298829
18,Tower,NA
18,Tower,0.16620943
18,Tower,0.187762378
18,Tower,0.221703262
18,Tower,0.384182736
18,Tower,0.279689572
18,Tower,0.189820873
18,Tower,NA
18,Tower,0.188228008
18,Tower,0.236145007
18,Tower,NA
19,Tower,NA
19,Tower,0.281687338
19,Tower,NA
19,Tower,NA
19,Tower,0.227728073
19,Tower,-0.482821193
19,Tower,NA
19,Tower,NA
19,Tower,NA
19,Tower,NA
19,Tower,NA
19,Tower,NA
19,Tower,NA
19,Tower,NA
